date,time,open,high,low,close,volume
2026-04-27,02:30:00,79123.48,79258.87,79039.14,79070.13,107.83046
2026-04-27,02:45:00,79070.12,79198.9,79066.12,79130.01,67.24154
2026-04-27,03:00:00,79130.01,79250.0,79077.81,79209.04,70.21496
2026-04-27,03:15:00,79209.04,79269.87,79175.62,79246.9,126.8147
2026-04-27,03:30:00,79246.91,79316.5,79173.17,79237.1,119.25158
2026-04-27,03:45:00,79237.1,79252.17,79079.48,79105.49,81.16715
2026-04-27,04:00:00,79105.5,79130.63,79009.5,79057.82,107.00215
2026-04-27,04:15:00,79057.82,79118.23,79003.34,79118.22,131.68677
2026-04-27,04:30:00,79118.23,79160.0,79028.6,79072.73,44.9404
2026-04-27,04:45:00,79072.72,79086.42,78872.42,78924.22,134.0499
2026-04-27,05:00:00,78924.21,78938.0,78392.26,78406.39,371.19673
2026-04-27,05:15:00,78406.39,78414.42,77822.86,77835.63,790.40468
2026-04-27,05:30:00,77835.62,77875.14,77562.63,77804.13,470.33006
2026-04-27,05:45:00,77804.14,77867.72,77743.48,77785.54,173.85598
2026-04-27,06:00:00,77785.55,77801.25,77666.66,77737.47,146.89342
2026-04-27,06:15:00,77737.46,77871.9,77691.2,77725.14,167.37237
2026-04-27,06:30:00,77725.14,77725.15,77465.05,77618.1,228.34613
2026-04-27,06:45:00,77618.11,77739.05,77610.44,77700.12,99.1199
2026-04-27,07:00:00,77700.12,77734.79,77563.1,77647.68,129.18401
2026-04-27,07:15:00,77647.69,77734.0,77562.08,77690.95,74.64399
2026-04-27,07:30:00,77690.95,77690.95,77587.5,77679.41,58.90475
2026-04-27,07:45:00,77679.42,77732.55,77606.59,77606.6,480.46491
2026-04-27,08:00:00,77606.59,77727.43,77592.46,77632.09,109.96505
2026-04-27,08:15:00,77632.09,77693.83,77560.99,77572.38,132.93258
2026-04-27,08:30:00,77572.39,77664.58,77553.23,77617.13,84.37228
2026-04-27,08:45:00,77617.14,77816.18,77617.13,77804.34,138.27172
2026-04-27,09:00:00,77804.34,77861.28,77783.4,77857.61,152.32306
2026-04-27,09:15:00,77857.62,77857.62,77700.0,77775.96,140.18058
2026-04-27,09:30:00,77775.96,77961.46,77755.37,77943.44,156.14241
2026-04-27,09:45:00,77943.45,77980.0,77894.65,77900.01,129.86168
2026-04-27,10:00:00,77900.01,77935.66,77801.89,77814.84,84.26801
2026-04-27,10:15:00,77814.85,77833.68,77792.46,77809.43,103.41463
2026-04-27,10:30:00,77809.43,77924.63,77800.5,77874.65,70.26939
2026-04-27,10:45:00,77874.65,77897.68,77849.44,77850.01,53.15561
2026-04-27,11:00:00,77850.01,77880.0,77740.39,77783.21,88.89334
2026-04-27,11:15:00,77783.21,77883.0,77746.73,77860.0,72.09595
2026-04-27,11:30:00,77860.01,77885.46,77780.0,77803.1,51.66826
2026-04-27,11:45:00,77803.1,77855.0,77780.0,77844.26,40.12127
2026-04-27,12:00:00,77844.25,77867.33,77736.49,77825.0,82.75178
2026-04-27,12:15:00,77824.99,77858.41,77720.21,77743.36,57.21728
2026-04-27,12:30:00,77743.36,77775.0,77650.0,77737.99,92.27429
2026-04-27,12:45:00,77738.0,77774.0,77620.0,77667.36,183.22408
2026-04-27,13:00:00,77667.36,77783.25,77637.57,77717.42,383.86424
2026-04-27,13:15:00,77717.42,77797.64,77650.0,77712.69,70.36479
2026-04-27,13:30:00,77712.75,77966.8,77627.15,77854.21,128.14544
2026-04-27,13:45:00,77854.2,77862.0,77571.79,77746.74,180.34223
2026-04-27,14:00:00,77746.74,77916.52,77680.0,77855.23,175.46419
2026-04-27,14:15:00,77855.22,77920.0,77828.15,77881.23,76.52397
2026-04-27,14:30:00,77881.23,78220.0,77849.44,78178.37,286.82011
2026-04-27,14:45:00,78178.38,78265.34,77793.15,77815.25,205.62002
2026-04-27,15:00:00,77815.26,77827.17,77305.71,77375.62,420.40264
2026-04-27,15:15:00,77375.62,77375.62,76564.33,76855.08,895.82738
2026-04-27,15:30:00,76855.08,77095.91,76832.25,77056.82,334.439
2026-04-27,15:45:00,77056.82,77056.82,76734.93,76793.09,231.50165
2026-04-27,16:00:00,76793.1,76847.67,76652.64,76770.98,329.03406
2026-04-27,16:15:00,76770.98,76868.01,76724.91,76745.82,156.79907
2026-04-27,16:30:00,76745.83,76817.7,76597.43,76597.43,148.45284
2026-04-27,16:45:00,76597.44,76687.2,76546.0,76618.59,175.17901
2026-04-27,17:00:00,76618.59,76811.14,76618.59,76699.88,192.15145
2026-04-27,17:15:00,76699.88,76888.73,76627.68,76832.66,287.22315
2026-04-27,17:30:00,76832.66,76990.43,76763.71,76867.32,259.45403
2026-04-27,17:45:00,76867.32,76890.08,76700.0,76743.24,135.97695
2026-04-27,18:00:00,76743.23,76811.93,76676.43,76750.66,142.00644
2026-04-27,18:15:00,76750.66,76841.02,76668.52,76694.97,65.04858
2026-04-27,18:30:00,76694.97,76767.71,76676.0,76767.7,71.14408
2026-04-27,18:45:00,76767.71,76890.99,76729.24,76834.06,83.77421
2026-04-27,19:00:00,76834.05,76889.74,76732.7,76879.77,63.82975
2026-04-27,19:15:00,76879.78,76894.7,76623.66,76623.66,115.70524
2026-04-27,19:30:00,76623.66,76782.19,76459.64,76782.18,311.54188
2026-04-27,19:45:00,76782.18,76878.07,76763.55,76878.07,107.60316
2026-04-27,20:00:00,76878.23,76994.23,76844.16,76895.84,99.13434
2026-04-27,20:15:00,76895.84,76994.26,76895.84,76994.26,41.79906
2026-04-27,20:30:00,76994.26,77067.8,76956.72,76992.95,105.5021
2026-04-27,20:45:00,76992.94,77003.81,76940.52,76960.43,64.37216
2026-04-27,21:00:00,76960.43,76960.43,76829.01,76885.37,50.43772
2026-04-27,21:15:00,76885.37,76941.69,76853.43,76913.92,43.42274
2026-04-27,21:30:00,76913.91,76981.53,76883.49,76897.52,40.65031
2026-04-27,21:45:00,76897.51,76944.35,76786.8,76786.81,89.4339
2026-04-27,22:00:00,76786.81,76900.0,76763.71,76857.32,71.42026
2026-04-27,22:15:00,76857.31,76972.33,76850.0,76971.44,76.342
2026-04-27,22:30:00,76971.44,77040.0,76959.8,77005.82,104.78429
2026-04-27,22:45:00,77005.81,77082.78,77005.81,77066.42,112.31704
2026-04-27,23:00:00,77066.42,77084.0,77018.56,77039.04,42.16186
2026-04-27,23:15:00,77039.05,77208.72,77039.04,77137.15,102.24516
2026-04-27,23:30:00,77137.15,77305.71,77137.14,77305.7,133.8666
2026-04-27,23:45:00,77305.7,77450.0,77287.08,77371.32,159.9994
2026-04-28,00:00:00,77371.32,77437.82,77256.38,77326.88,129.45533
2026-04-28,00:15:00,77326.87,77446.5,77229.89,77233.5,64.10712
2026-04-28,00:30:00,77233.49,77478.0,77210.92,77400.92,73.3638
2026-04-28,00:45:00,77400.92,77473.42,77294.11,77379.62,60.33619
2026-04-28,01:00:00,77379.62,77394.1,77323.15,77344.75,47.58279
2026-04-28,01:15:00,77344.75,77344.75,77194.49,77235.84,169.85803
2026-04-28,01:30:00,77235.83,77235.83,77088.88,77105.0,126.91561
2026-04-28,01:45:00,77105.0,77134.8,77038.1,77084.68,60.41959
2026-04-28,02:00:00,77084.69,77215.49,77045.03,77159.77,116.26763
2026-04-28,02:15:00,77159.76,77227.03,77005.07,77005.07,78.35901
2026-04-28,02:30:00,77005.07,77032.0,76672.56,76707.6,164.34134
2026-04-28,02:45:00,76707.6,76901.96,76681.58,76890.93,78.78682
2026-04-28,03:00:00,76890.92,76890.92,76672.0,76765.49,95.46433
2026-04-28,03:15:00,76765.48,76790.16,76699.99,76763.72,66.64676
2026-04-28,03:30:00,76763.72,76842.44,76753.6,76800.43,69.25675
2026-04-28,03:45:00,76800.42,76842.84,76786.81,76815.18,47.10297
2026-04-28,04:00:00,76815.18,76877.1,76777.73,76877.1,47.29021
2026-04-28,04:15:00,76877.09,76930.33,76701.35,76797.41,101.98591
2026-04-28,04:30:00,76797.4,76878.0,76749.96,76829.76,81.17565
2026-04-28,04:45:00,76829.76,76950.0,76829.75,76888.08,44.41197
2026-04-28,05:00:00,76888.08,77058.61,76888.08,76963.82,154.8791
2026-04-28,05:15:00,76963.81,77154.0,76907.6,77063.45,168.24753
2026-04-28,05:30:00,77063.45,77072.51,76811.01,76865.14,114.9853
2026-04-28,05:45:00,76865.14,76972.33,76865.13,76885.98,72.68936
2026-04-28,06:00:00,76885.97,77027.91,76885.97,76999.62,90.77183
2026-04-28,06:15:00,76999.62,77006.32,76836.85,76905.63,82.391
2026-04-28,06:30:00,76905.64,76941.02,76593.0,76602.16,138.72921
2026-04-28,06:45:00,76602.17,76763.71,76588.0,76720.0,153.16437
2026-04-28,07:00:00,76720.01,76720.01,76557.64,76557.65,152.49502
2026-04-28,07:15:00,76557.65,76663.47,76424.9,76642.43,242.78473
2026-04-28,07:30:00,76642.43,76889.02,76617.7,76858.01,558.54325
