,split_start,n_trades,win_rate,avg_pnl,profit_factor,max_dd,sharpe
0,2026-04-28 14:45:00,1,0.0,-0.2573803873198383,0.0,-0.2573803873198383,
1,2026-04-28 18:30:00,1,0.0,-0.2573803873198383,0.0,-0.2573803873198383,
2,2026-04-29 05:45:00,1,1.0,0.48803224057591904,inf,0.48803224057591904,
3,2026-04-29 09:30:00,1,1.0,0.48803224057591904,inf,0.48803224057591904,
4,2026-04-29 13:15:00,1,1.0,1.1133200255952747,inf,1.1133200255952747,
5,2026-04-29 17:00:00,1,1.0,1.1133200255952747,inf,1.1133200255952747,
6,2026-04-30 04:15:00,1,0.0,-0.3114790828015903,0.0,-0.3114790828015903,
7,2026-04-30 08:00:00,3,0.3333333333333333,0.0034236501460805555,1.0160934995406037,-0.6382049107671246,0.006128066138756365
8,2026-04-30 11:45:00,2,0.5,0.16087501661991596,1.9847707334412898,-0.32672582796553434,0.233297001886159
9,2026-05-03 07:15:00,1,0.0,-0.20574894798962817,0.0,-0.20574894798962817,
10,2026-05-03 11:00:00,1,0.0,-0.20574894798962817,0.0,-0.20574894798962817,
11,2026-05-05 08:00:00,2,0.5,-0.008496570214284349,0.9676803941693438,-0.016993140428568698,-0.011614392516553424
12,2026-05-05 11:45:00,2,0.5,-0.008496570214284349,0.9676803941693438,-0.016993140428568698,-0.011614392516553424
