,open,high,low,close,volume,atr,ob_formed,ob_direction,entry_quality,qmp_fast,qmp_slow,qmp_macd,qmp_line,qmp_hist,qqe_rsi,qqe_rsi_ma,qqe_dar,qqe_momentum,signal_alignment
2026-04-27 15:00:00,77815.26,77827.17,77305.71,77375.62,420.40264,231.34285714285733,False,none,0.0,77755.2859956251,77786.48452587074,-31.198530245630536,8.328630594565137,-39.52716084019568,32.60410424038743,32.60410424038743,23.21516897761963,-16.072681778617437,1.0
2026-04-27 15:15:00,77375.62,77375.62,76564.33,76855.08,895.82738,283.9349999999998,False,none,0.0,77496.78415175689,77653.88630435657,-157.10215259967663,-51.24783146803614,-105.85432113164049,22.53512963308188,22.53512963308188,23.893578375180553,-10.068974607305549,1.0
2026-04-27 15:30:00,76855.08,77095.91,76832.25,77056.82,334.439,293.4221428571431,False,none,0.0,77353.81362089842,77564.60214295221,-210.78852205378644,-112.93803303684611,-97.85048901694033,31.85626400146701,31.85626400146701,24.46979005129112,9.321134368385131,-1.0
2026-04-27 15:45:00,77056.82,77056.82,76734.93,76793.09,231.50165,306.5428571428586,False,none,0.0,77169.51510777729,77447.64514782254,-278.13004004524555,-180.57672807848738,-97.55331196675817,27.002038120406354,27.002038120406354,24.867843753927435,-4.854225881060657,1.0
2026-04-27 16:00:00,76793.1,76847.67,76652.64,76770.98,329.03406,311.5450000000014,False,none,0.0,77022.3725011574,77340.62761346406,-318.255112306666,-242.2126513979195,-76.04246090874648,26.61348707937337,26.61348707937337,25.03226334640174,-0.3885510410329829,1.0
2026-04-27 16:15:00,76770.98,76868.01,76724.91,76745.82,156.79907,310.76642857142934,False,none,0.0,76903.92572360925,77242.16233304168,-338.2366094324243,-291.89467972397887,-46.341929708445434,26.12459285927949,26.12459285927949,25.012564066833882,-0.48889422009388284,1.0
2026-04-27 16:30:00,76745.83,76817.7,76597.43,76597.43,148.45284,316.09428571428725,False,none,0.0,76773.23221486507,77133.85131850648,-360.6191036414093,-333.6025529562294,-27.016550685179936,23.246194298328348,23.246194298328348,24.891831483817626,-2.8783985609511404,1.0
2026-04-27 16:45:00,76597.44,76687.2,76546.0,76618.59,175.17901,315.6342857142871,False,none,0.0,76681.50769760173,77041.06746479108,-359.55976718934835,-360.99489272953485,1.4351255401865046,24.600059349738387,24.600059349738387,24.66232429543154,1.3538650514100397,1.0
2026-04-27 17:00:00,76618.59,76811.14,76618.59,76699.88,192.15145,305.12714285714384,False,none,0.0,76637.43422198475,76970.7990718812,-333.36484989646124,-369.0384149374036,35.67356504094238,30.019632530278017,30.019632530278017,24.420245705384282,5.419573180539629,1.0
2026-04-27 17:15:00,76699.88,76888.73,76627.68,76832.66,287.22315,303.04428571428645,False,none,0.0,76645.0693259043,76928.0112778398,-282.9419519354997,-354.6070832828557,71.66513134735601,38.298606904209485,38.298606904209485,24.220339231890804,8.278974373931469,1.0
